,
"Brazilian Health Minister Eduardo Pazuello, who is ill with COVID-19, will stay in a military hospital overnight on Sunday, after having been discharged from a civilian facility earlier in the day, the ministry said in a statement.",Health
More than 300 Brazilians gathered on São Paulo's main commercial thoroughfare on Sunday to protest state Governor João Doria's support for mandatory COVID-19 immunization and testing the potential vaccine developed by China's Sinovac .,Health
"The French government promised on Sunday to support the nation's beloved independent shops that fear losing their business to international giants, such as Amazon.com Inc , as it sought to quell opposition to a new coronavirus lockdown.",Health
"Stanford University economists estimate that President Donald Trump's campaign rallies have resulted in 30,000 additional confirmed cases of COVID-19, and likely led to more than 700 deaths overall, according to a paper posted online this weekend.",Health
"The one-month lockdown for England announced by Prime Minister Boris Johnson this weekend could be extended as Britain struggles to contain a second wave of the COVID-19 pandemic, a senior cabinet member said on Sunday.",Health
"Stockholm has paused home COVID-19 testing for four days after surging demand left 16,000 people waiting for tests for active infections in Sweden's biggest city, overwhelming the system, regional authorities said on Sunday.",Health
"Coronavirus cases continued their grim climb in the United States on Sunday with Midwestern states experiencing record hospitalizations, as increasingly bitter rhetoric kept the virus front and center of campaigning two days before the presidential election.",Health
"New confirmed coronavirus cases rose by 46,290 in France in the past 24 hours, official data showed on Sunday, while the number of people needing treatment in intensive care also crept up.",Health
"The U.S. Centers for Disease Control and Prevention (CDC) on Sunday reported 9,105,230 cases of the novel coronavirus, an increase of 80,932 cases from its previous count, and said that the number of deaths had risen by 823 to 229,932.",Health
"Europe's new COVID-19 cases have doubled in five weeks, propelling the region on Sunday across the bleak milestone of 10 million total infections, according to a Reuters tally.",Health
"Striving to dismantle Obamacare state by state, Republican lawmakers and the Trump administration are pushing rules that require residents to prove they are working or volunteering in order to keep their Medicaid benefits.",Health
"South Korea said on Sunday it will expand its mandatory mask policy to spas, wedding halls and other places as part of new social distancing rules aimed at preparing for a prolonged COVID-19 outbreak.",Health
Prime Minister Boris Johnson ordered England back into a national lockdown after the United Kingdom passed the milestone of one million COVID-19 cases and a second wave of infections threatened to overwhelm the health service.,Health
Prime Minister Boris Johnson ordered England back into a national lockdown after the United Kingdom passed the milestone of one million COVID-19 cases and a second wave of infections threatened to overwhelm the health service.,Health
"Russia's daily tally of coronavirus cases hit a record high of 18,665 on Sunday, including 5,261 in Moscow, taking the national tally to 1,636,781.",Health
"Australia recorded no new daily coronavirus community infections on Sunday for the first time in nearly five months, health officials said, paving the way for further easing of social distancing restrictions.",Health
"Mainland China reported 24 new COVID-19 cases on Oct. 31, down from 33 a day earlier, the country's national health authority said on Sunday.",Health
"Most people arriving in New York state must quarantine for at least three full days before taking a coronavirus test, Governor Andrew Cuomo announced on Saturday as he overhauled one of the strictest quarantine regimes for travelers in the United States. If that test comes back negative, the traveler can leave quarantine.",Health
"The 67 million population of the United Kingdom is living under some sort of COVID-19 restrictions, though the severity of the rules varies.",Health
"England's National Health Service would be in extraordinary trouble in December, with large numbers dying from COVID-19 infections, without the new national lockdown announced on Saturday, Chief Medical Officer Chris Whitty said.",Health
"England is seeing a significant rate of increase in COVID-19 infections across virtually the whole country, Chief Medical Officer Chris Whitty said on Saturday ahead of the expected announcement of new national lockdown measures.",Health
"Striving to dismantle Obamacare state by state, Republican lawmakers and the Trump administration are pushing rules that require residents to prove they are working or volunteering in order to keep their Medicaid benefits.",Health
"Austria's daily tally of new coronavirus cases stood at 5,349, data from the government showed on Saturday, as it prepares to announce new measures aimed at slowing the spread of the virus.",Health
"British Prime Minister Boris Johnson will hold a news conference at 16:00 GMT on Saturday to provide an update on the government's response to the COVID-19 outbreak, ITV reported.",Health
